"Bus Table (SPI (with CS): 8 Bit, MSB, Clk = D0, MOSI = D1, MISO = D2, CS = D3)"
"gg"
Frame,Mark,Start Time in s,Source,Length,Data,State
392,,-59.96301600e-3,MOSI,2,0x1480,OK
393,,-59.96301600e-3,MISO,2,0x0F80,OK
394,,-59.94343200e-3,MOSI,2,0x1A07,OK
395,,-59.94343200e-3,MISO,2,0x07FF,OK
396,,-59.92404000e-3,MOSI,2,0x1226,OK
397,,-59.92404000e-3,MISO,2,0xFFFE,OK
398,,-59.90445600e-3,MOSI,2,0x020C,OK
399,,-59.90445600e-3,MISO,2,0x01FF,OK
400,,-59.88506400e-3,MOSI,2,0x1A87,OK
401,,-59.88506400e-3,MISO,2,0xFFFF,OK
402,,-59.86548000e-3,MOSI,2,0x8800,OK
403,,-59.86548000e-3,MISO,2,0xFFFF,OK
404,,-59.84589600e-3,MOSI,2,0x0200,OK
405,,-59.84589600e-3,MISO,2,0xFFFF,OK
406,,-59.82650400e-3,MOSI,2,0x9400,OK
407,,-59.82650400e-3,MISO,2,0xFFFF,OK
408,,-59.80692000e-3,MOSI,33,0x920000000000000000000000000000000000000000000000000000000000000000,OK
409,,-59.80692000e-3,MISO,33,0x8FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,OK
410,,-59.50855200e-3,MOSI,2,0x9800,OK
411,,-59.50855200e-3,MISO,2,0xF800,OK
412,,-59.48896800e-3,MOSI,2,0x0200,OK
413,,-59.48896800e-3,MISO,2,0x01FF,OK
414,,-59.46957600e-3,MOSI,2,0x087F,OK
415,,-59.46957600e-3,MISO,2,0xFFFF,OK
416,,-59.44999200e-3,MOSI,2,0x1480,OK
417,,-59.44999200e-3,MISO,2,0x0F80,OK
418,,-59.43040800e-3,MOSI,2,0x1A07,OK
419,,-59.43040800e-3,MISO,2,0x07FF,OK
420,,-59.41101600e-3,MOSI,2,0x1226,OK
421,,-59.41101600e-3,MISO,2,0xFFFE,OK
422,,-59.39143200e-3,MOSI,2,0x020C,OK
423,,-59.39143200e-3,MISO,2,0x01FF,OK
424,,-59.37204000e-3,MOSI,2,0x1A87,OK
425,,-59.37204000e-3,MISO,2,0xFFFF,OK
