"Bus Table (SPI (with CS): 8 Bit, MSB, Clk = D0, MOSI = D1, MISO = D2, CS = D3)"
"gg"
Frame,Mark,Start Time in s,Source,Length,Data,State
374,,49.47151760e-3,MOSI,2,0x8800,OK
375,,49.47151760e-3,MISO,2,0xFFFF,OK
376,,49.49101840e-3,MOSI,2,0x0200,OK
377,,49.49101840e-3,MISO,2,0xFE00,OK
378,,49.51051920e-3,MOSI,2,0x9400,OK
379,,49.51051920e-3,MISO,2,0x7FFF,OK
380,,49.53002000e-3,MOSI,2,0x9200,OK
381,,49.53002000e-3,MISO,2,0xF1FF,OK
382,,49.54952080e-3,MOSI,2,0x9800,OK
383,,49.54952080e-3,MISO,2,0xF800,OK
384,,49.56902160e-3,MOSI,2,0x0200,OK
385,,49.56902160e-3,MISO,2,0x01FF,OK
386,,49.58852240e-3,MOSI,2,0x087F,OK
387,,49.58852240e-3,MISO,2,0xFFFF,OK
388,,49.60802320e-3,MOSI,2,0x1480,OK
389,,49.60802320e-3,MISO,2,0x0F80,OK
390,,49.62751760e-3,MOSI,2,0x1A07,OK
391,,49.62751760e-3,MISO,2,0x07FF,OK
392,,49.64701840e-3,MOSI,2,0x1226,OK
393,,49.64701840e-3,MISO,2,0xFFFE,OK
394,,49.66651920e-3,MOSI,2,0x020C,OK
395,,49.66651920e-3,MISO,2,0x01FF,OK
396,,49.68602000e-3,MOSI,2,0x9A00,OK
397,,49.68602000e-3,MISO,2,0xFFFF,OK
398,,49.70552080e-3,MOSI,2,0x1AFF,OK
399,,49.70552080e-3,MISO,2,0xFFFF,OK
400,,49.72502160e-3,MOSI,2,0x8800,OK
401,,49.72502160e-3,MISO,2,0xFFFF,OK
402,,49.74452240e-3,MOSI,2,0x0200,OK
403,,49.74452240e-3,MISO,2,0xFE00,OK
404,,49.76402320e-3,MOSI,2,0x9400,OK
405,,49.76402320e-3,MISO,2,0x7FFF,OK
406,,49.78351760e-3,MOSI,2,0x9200,OK
407,,49.78351760e-3,MISO,2,0xF1FF,OK
